split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7996_5133,14,7996,5133,14_7972_5126,True,0.044424,18.317652,18.986873,0.183249,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5133.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5133_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5133.png
val,14_7996_5142,14,7996,5142,14_7972_5125,True,0.059133,7.213287,23.787115,0.305665,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5142_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5142.png
val,14_7997_5121,14,7997,5121,14_7969_5115,True,0.053507,35.012516,15.133921,0.169134,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7997_5121_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5121.png
val,14_7997_5123,14,7997,5123,14_7976_5123,True,0.076281,10.647298,21.767504,0.353097,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5123.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7997_5123_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5123.png
val,14_7998_5114,14,7998,5114,14_7972_5129,True,0.237641,20.152552,16.587149,0.074367,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7998_5114_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5114.png
val,14_7998_5120,14,7998,5120,14_7976_5109,True,0.048787,33.807674,16.233556,0.296604,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7998_5120_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5120.png
val,14_7999_5112,14,7999,5112,14_7972_5129,True,0.240489,19.383814,16.670025,0.093568,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7999_5112_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5112.png
val,14_7999_5114,14,7999,5114,14_7972_5129,True,0.143779,25.071802,16.136069,0.100925,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7999_5114_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5114.png
val,14_7999_5127,14,7999,5127,14_7976_5119,True,0.057667,31.048874,17.195573,0.708336,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7999_5127_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5127.png
val,14_8000_5112,14,8000,5112,14_7972_5129,True,0.123029,22.673065,15.985982,-0.032915,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8000_5112_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5112.png
val,14_8000_5113,14,8000,5113,14_7972_5129,True,0.186850,15.127594,18.538959,0.061339,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8000_5113_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5113.png
val,14_8000_5116,14,8000,5116,14_7972_5129,True,0.056234,15.477885,18.535621,0.093015,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8000_5116_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5116.png
val,14_8001_5111,14,8001,5111,14_7972_5129,True,0.063039,21.406927,16.799144,-0.032078,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8001_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8001_5111_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8001_5111.png
val,14_8002_5104,14,8002,5104,14_7975_5130,True,0.051050,5.215566,25.312475,0.290761,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8002_5104_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5104.png
val,14_8002_5117,14,8002,5117,14_7971_5124,True,0.049042,15.422150,19.746390,0.115440,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8002_5117_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5117.png
val,14_8002_5127,14,8002,5127,14_7975_5129,True,0.069721,3.339584,24.246781,0.446762,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8002_5127_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5127.png
val,14_8003_5107,14,8003,5107,14_7973_5105,True,0.068719,18.490555,18.661393,0.117517,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5107.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8003_5107_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5107.png
val,14_8003_5109,14,8003,5109,14_7971_5128,True,0.103719,21.453817,16.393193,0.099659,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8003_5109_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5109.png
val,14_8003_5112,14,8003,5112,14_7972_5129,True,0.227113,18.415258,17.354366,0.083690,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8003_5112_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5112.png
