split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7991_5137,14,7991,5137,28.977707,17.664225,0.506326,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7991_5137_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5137.png
val,14_7991_5142,14,7991,5142,28.844202,18.042593,0.383264,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7991_5142_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5142.png
val,14_7992_5104,14,7992,5104,29.708252,17.780715,0.507575,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7992_5104_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5104.png
val,14_7992_5113,14,7992,5113,23.180304,19.223465,0.371955,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7992_5113_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5113.png
val,14_7992_5129,14,7992,5129,21.870474,19.654704,0.561378,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7992_5129_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5129.png
val,14_7992_5143,14,7992,5143,27.723505,18.284413,0.537459,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7992_5143_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5143.png
val,14_7993_5110,14,7993,5110,27.054346,18.232191,0.243524,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5110_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5110.png
val,14_7993_5114,14,7993,5114,27.514841,17.804433,0.212250,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5114_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5114.png
val,14_7993_5116,14,7993,5116,28.202454,17.959251,0.336953,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5116_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5116.png
val,14_7993_5117,14,7993,5117,24.233582,18.715402,0.165929,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5117_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5117.png
val,14_7993_5122,14,7993,5122,31.496994,17.044891,0.387333,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5122_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5122.png
val,14_7994_5132,14,7994,5132,22.195425,19.535324,0.543676,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7994_5132_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5132.png
val,14_7994_5135,14,7994,5135,29.251709,17.933230,0.617777,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7994_5135_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5135.png
val,14_7994_5137,14,7994,5137,28.184805,18.160029,0.609183,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7994_5137_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5137.png
val,14_7995_5113,14,7995,5113,22.634531,19.162075,0.251230,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5113_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5113.png
val,14_7995_5116,14,7995,5116,21.975061,19.523842,0.281115,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5116_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5116.png
val,14_7995_5117,14,7995,5117,22.549814,19.370812,0.355977,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5117_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5117.png
val,14_7995_5120,14,7995,5120,29.622400,17.552150,0.293499,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5120_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5120.png
val,14_7995_5127,14,7995,5127,27.440765,18.330874,0.578690,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5127_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5127.png
val,14_7996_5109,14,7996,5109,22.891418,19.274374,0.234042,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5109_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5109.png
val,14_7996_5110,14,7996,5110,26.478540,18.379179,0.271583,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5110_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5110.png
val,14_7996_5122,14,7996,5122,26.562653,18.432571,0.329835,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5122_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5122.png
val,14_7996_5125,14,7996,5125,27.310293,18.426398,0.312509,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5125_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5125.png
val,14_7996_5133,14,7996,5133,27.801310,17.937436,0.419454,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5133.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5133_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5133.png
val,14_7996_5142,14,7996,5142,27.921906,18.219677,0.583654,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5142_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5142.png
val,14_7997_5121,14,7997,5121,29.604086,17.486322,0.386213,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7997_5121_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5121.png
val,14_7997_5123,14,7997,5123,20.679102,19.889678,0.363150,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5123.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7997_5123_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5123.png
val,14_7998_5114,14,7998,5114,25.550409,17.529112,0.218611,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7998_5114_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5114.png
val,14_7998_5120,14,7998,5120,29.123835,17.873790,0.540739,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7998_5120_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5120.png
val,14_7999_5112,14,7999,5112,25.192169,17.679889,0.231690,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7999_5112_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5112.png
val,14_7999_5114,14,7999,5114,25.058619,18.094823,0.159138,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7999_5114_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5114.png
val,14_7999_5127,14,7999,5127,29.317957,17.925771,0.654199,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7999_5127_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5127.png
val,14_8000_5112,14,8000,5112,25.434423,17.470653,0.238168,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8000_5112_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5112.png
val,14_8000_5113,14,8000,5113,23.254354,19.193678,0.309503,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8000_5113_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5113.png
val,14_8000_5116,14,8000,5116,25.765640,18.488312,0.330905,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8000_5116_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5116.png
val,14_8001_5111,14,8001,5111,25.113272,18.185206,0.184960,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8001_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8001_5111_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8001_5111.png
val,14_8002_5104,14,8002,5104,25.057455,18.834593,0.335115,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8002_5104_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5104.png
val,14_8002_5117,14,8002,5117,24.756128,18.819047,0.192146,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8002_5117_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5117.png
val,14_8002_5127,14,8002,5127,25.775705,18.687293,0.549803,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8002_5127_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5127.png
val,14_8003_5107,14,8003,5107,27.025717,18.231510,0.260124,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5107.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8003_5107_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5107.png
val,14_8003_5109,14,8003,5109,28.851370,17.334376,0.301171,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8003_5109_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5109.png
val,14_8003_5112,14,8003,5112,23.557611,18.173153,0.261894,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8003_5112_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5112.png
val,14_8004_5091,14,8004,5091,25.101919,18.494580,0.467079,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8004_5091.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_8004_5091_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8004_5091.png
