split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_8002_5104,14,8002,5104,14_7969_5108,True,0.267424,38.113956,14.581645,0.200751,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8002_5104_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5104.png
val,14_8002_5117,14,8002,5117,14_7976_5118,True,0.178229,27.434219,17.678300,0.203746,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8002_5117_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5117.png
val,14_8002_5127,14,8002,5127,14_7973_5113,True,0.247546,31.029877,17.164170,0.496910,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8002_5127_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5127.png
val,14_8003_5107,14,8003,5107,14_7974_5106,True,0.221727,14.604259,19.605297,0.219806,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5107.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8003_5107_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5107.png
val,14_8003_5109,14,8003,5109,14_7972_5108,True,0.232109,32.904102,16.206992,0.211109,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8003_5109_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5109.png
val,14_8003_5112,14,8003,5112,14_7974_5114,True,0.198175,32.634510,16.317416,0.266142,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8003_5112_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5112.png
val,14_8004_5091,14,8004,5091,14_7973_5126,True,0.248102,24.041422,18.046080,0.292529,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8004_5091.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8004_5091_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8004_5091.png
val,14_8004_5106,14,8004,5106,14_7974_5130,True,0.202846,9.899465,21.769575,0.165659,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8004_5106.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8004_5106_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8004_5106.png
val,14_8005_5091,14,8005,5091,14_7975_5119,True,0.304927,31.959253,16.783398,0.510563,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8005_5091.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8005_5091_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8005_5091.png
val,14_8006_5109,14,8006,5109,14_7975_5122,True,0.227922,32.359619,16.504316,0.419235,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8006_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8006_5109_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8006_5109.png
val,14_8006_5114,14,8006,5114,14_7973_5112,True,0.217463,32.737362,16.428516,0.262580,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8006_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8006_5114_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8006_5114.png
