split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7996_5122,14,7996,5122,20.018438,20.970896,0.188205,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5122_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5122.png
val,14_7996_5125,14,7996,5125,21.174734,20.012509,0.688208,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5125_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5125.png
val,14_7996_5133,14,7996,5133,17.299759,21.078632,0.341059,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5133.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5133_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5133.png
val,14_7996_5142,14,7996,5142,19.089025,21.159021,0.554213,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5142_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5142.png
val,14_7997_5121,14,7997,5121,20.629980,20.130718,0.366608,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7997_5121_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5121.png
val,14_7997_5123,14,7997,5123,10.432556,25.576261,0.661739,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5123.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7997_5123_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5123.png
val,14_7998_5114,14,7998,5114,16.378962,18.934870,0.061180,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7998_5114_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5114.png
val,14_7998_5120,14,7998,5120,18.201797,21.433971,0.417309,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7998_5120_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5120.png
val,14_7999_5112,14,7999,5112,17.340185,18.965884,0.055231,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7999_5112_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5112.png
val,14_7999_5114,14,7999,5114,22.217096,17.735515,-0.002213,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7999_5114_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5114.png
val,14_7999_5127,14,7999,5127,19.999842,21.049334,0.579020,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7999_5127_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5127.png
val,14_8000_5112,14,8000,5112,21.628336,17.544582,-0.172654,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8000_5112_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5112.png
val,14_8000_5113,14,8000,5113,12.827179,23.087813,0.104370,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8000_5113_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5113.png
val,14_8000_5116,14,8000,5116,14.253601,22.765910,0.106820,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8000_5116_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5116.png
val,14_8001_5111,14,8001,5111,20.560226,18.982217,0.098879,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8001_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8001_5111_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8001_5111.png
val,14_8002_5104,14,8002,5104,16.043066,22.211245,0.416227,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8002_5104_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5104.png
val,14_8002_5117,14,8002,5117,19.878393,19.445184,0.043162,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8002_5117_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5117.png
val,14_8002_5127,14,8002,5127,16.114008,22.369846,0.454253,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8002_5127_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5127.png
val,14_8003_5107,14,8003,5107,13.947429,22.998705,0.290718,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5107.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8003_5107_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5107.png
val,14_8003_5109,14,8003,5109,21.988693,18.701473,0.272575,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8003_5109_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5109.png
val,14_8003_5112,14,8003,5112,16.093210,20.386791,0.150273,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8003_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8003_5112_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8003_5112.png
val,14_8004_5091,14,8004,5091,15.226659,22.050806,0.424884,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8004_5091.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8004_5091_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8004_5091.png
val,14_8004_5106,14,8004,5106,15.922073,21.949168,0.241297,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8004_5106.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8004_5106_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8004_5106.png
val,14_8005_5091,14,8005,5091,16.668955,21.369713,0.398468,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8005_5091.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8005_5091_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8005_5091.png
val,14_8006_5109,14,8006,5109,17.654596,20.251634,0.244569,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8006_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8006_5109_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8006_5109.png
val,14_8006_5114,14,8006,5114,21.550192,18.614580,0.314839,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8006_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8006_5114_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8006_5114.png
val,14_8006_5118,14,8006,5118,14.190541,21.318520,0.342207,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8006_5118.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8006_5118_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8006_5118.png
val,14_8007_5104,14,8007,5104,17.529556,21.471331,0.308041,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8007_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8007_5104_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8007_5104.png
