baseline,tile_a,tile_b,direction,generated_seam_absdiff,target_seam_absdiff,generated_minus_target,stress_ratio,generated_a_path,generated_b_path
patch-embedding retrieval,14_7995_5116,14_7995_5117,down,17.364584,6.001302,11.363282,2.893469,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5116_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5117_patch_embedding_retrieval.png
patch-embedding retrieval,14_7996_5109,14_7996_5110,down,4.446615,2.597656,1.848958,1.711780,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5109_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5110_patch_embedding_retrieval.png
patch-embedding retrieval,14_7998_5114,14_7999_5114,right,11.851562,9.363281,2.488281,1.265749,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7998_5114_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7999_5114_patch_embedding_retrieval.png
patch-embedding retrieval,14_7999_5112,14_8000_5112,right,11.161458,2.322917,8.838541,4.804932,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7999_5112_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8000_5112_patch_embedding_retrieval.png
patch-embedding retrieval,14_8000_5112,14_8000_5113,down,6.578125,4.080729,2.497396,1.611998,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8000_5112_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8000_5113_patch_embedding_retrieval.png
patch-embedding retrieval,14_8004_5091,14_8005_5091,right,18.781250,2.190104,16.591146,8.575505,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8004_5091_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8005_5091_patch_embedding_retrieval.png
patch-embedding retrieval,14_8010_5105,14_8010_5106,down,11.605469,8.839844,2.765625,1.312859,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8010_5105_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8010_5106_patch_embedding_retrieval.png
patch-embedding retrieval,14_8010_5114,14_8010_5115,down,10.558594,4.307292,6.251302,2.451330,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8010_5114_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8010_5115_patch_embedding_retrieval.png
trained tiny CNN,14_7980_5147,14_7981_5147,right,4.753906,2.743490,2.010417,1.732795,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7980_5147_tiny_cnn.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7981_5147_tiny_cnn.png
trained tiny CNN,14_7990_5114,14_7991_5114,right,4.932292,8.635417,-3.703125,0.571170,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7990_5114_tiny_cnn.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7991_5114_tiny_cnn.png
trained tiny CNN,14_7991_5104,14_7992_5104,right,5.016927,0.445312,4.571615,11.266082,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7991_5104_tiny_cnn.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7992_5104_tiny_cnn.png
trained tiny CNN,14_7993_5116,14_7993_5117,down,13.761719,2.083333,11.678385,6.605625,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5116_tiny_cnn.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7993_5117_tiny_cnn.png
trained tiny CNN,14_7995_5116,14_7995_5117,down,14.268229,6.001302,8.266927,2.377522,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5116_tiny_cnn.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7995_5117_tiny_cnn.png
trained tiny CNN,14_7996_5109,14_7996_5110,down,14.089844,2.597656,11.492188,5.424060,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5109_tiny_cnn.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7996_5110_tiny_cnn.png
